DATE,DATA
10-Dec-2021,-0.761550305
13-Dec-2021,-0.82353265
14-Dec-2021,-0.80958593
15-Dec-2021,-0.782771618
16-Dec-2021,-0.698455039
17-Dec-2021,-0.747661146
20-Dec-2021,-0.706473178
21-Dec-2021,-0.688556754
22-Dec-2021,-0.715732624
23-Dec-2021,-0.681010066
27-Dec-2021,-0.71980201
28-Dec-2021,-0.703762986
29-Dec-2021,-0.608837518
30-Dec-2021,-0.638945003
31-Dec-2021,-0.641431771
03-Jan-2022,-0.535930174
04-Jan-2022,-0.462209317
05-Jan-2022,-0.483158471
06-Jan-2022,-0.509219684
07-Jan-2022,-0.443706713
10-Jan-2022,-0.482653913
11-Jan-2022,-0.50060818
12-Jan-2022,-0.518232357
13-Jan-2022,-0.538139549
14-Jan-2022,-0.505753527
18-Jan-2022,-0.462470444
19-Jan-2022,-0.497083666
20-Jan-2022,-0.515514934
21-Jan-2022,-0.565892144
24-Jan-2022,-0.515275841
25-Jan-2022,-0.518547173
26-Jan-2022,-0.536592381
27-Jan-2022,-0.637010447
28-Jan-2022,-0.650387708
31-Jan-2022,-0.621995249
01-Feb-2022,-0.616732743
02-Feb-2022,-0.6401239
03-Feb-2022,-0.618941548
04-Feb-2022,-0.60145611
07-Feb-2022,-0.598358105
08-Feb-2022,-0.585347948
09-Feb-2022,-0.615589148
10-Feb-2022,-0.681804066
11-Feb-2022,-0.715971623
14-Feb-2022,-0.688572259
15-Feb-2022,-0.599678087
16-Feb-2022,-0.586694268
17-Feb-2022,-0.625855945
18-Feb-2022,-0.66838861
22-Feb-2022,-0.711422836
23-Feb-2022,-0.669301634
24-Feb-2022,-0.634413706
25-Feb-2022,-0.658822506
28-Feb-2022,-0.754625379
01-Mar-2022,-0.783901446
02-Mar-2022,-0.720946565
03-Mar-2022,-0.743954833
04-Mar-2022,-0.87731566
07-Mar-2022,-0.870686808
08-Mar-2022,-0.837612336
09-Mar-2022,-0.8037909
10-Mar-2022,-0.784000611
11-Mar-2022,-0.813149508
14-Mar-2022,-0.695820182
15-Mar-2022,-0.707082836
16-Mar-2022,-0.717182466
17-Mar-2022,-0.66637165
18-Mar-2022,-0.761358561
21-Mar-2022,-0.671635143
22-Mar-2022,-0.631037982
23-Mar-2022,-0.643577736
24-Mar-2022,-0.644168994
25-Mar-2022,-0.571190945
28-Mar-2022,-0.685374336
29-Mar-2022,-0.753182834
30-Mar-2022,-0.793392536
31-Mar-2022,-0.823069032
01-Apr-2022,-0.897301229
04-Apr-2022,-0.832034021
05-Apr-2022,-0.745070248
06-Apr-2022,-0.618774216
07-Apr-2022,-0.498619906
08-Apr-2022,-0.463042384
11-Apr-2022,-0.403095894
12-Apr-2022,-0.349989476
13-Apr-2022,-0.382447058
14-Apr-2022,-0.288920611
18-Apr-2022,-0.233177736
19-Apr-2022,-0.236284311
20-Apr-2022,-0.340843857
21-Apr-2022,-0.33637525
22-Apr-2022,-0.340692041
25-Apr-2022,-0.422912937
26-Apr-2022,-0.438500445
27-Apr-2022,-0.380965939
28-Apr-2022,-0.381959784
29-Apr-2022,-0.361329676
02-May-2022,-0.283604417
03-May-2022,-0.331575201
04-May-2022,-0.267799475
05-May-2022,-0.118375563
06-May-2022,-0.024197238
09-May-2022,-0.050606458
10-May-2022,-0.142282389
11-May-2022,-0.209627177
12-May-2022,-0.266924712
13-May-2022,-0.187192762
16-May-2022,-0.229003962
17-May-2022,-0.225368975
18-May-2022,-0.331712432
19-May-2022,-0.333859918
20-May-2022,-0.36811102
23-May-2022,-0.340271464
24-May-2022,-0.429403265
25-May-2022,-0.385167595
26-May-2022,-0.388147507
27-May-2022,-0.438799501
31-May-2022,-0.355449702
01-Jun-2022,-0.363833299
02-Jun-2022,-0.388133009
03-Jun-2022,-0.366511633
06-Jun-2022,-0.297098524
07-Jun-2022,-0.336836754
08-Jun-2022,-0.312528343
09-Jun-2022,-0.352909004
10-Jun-2022,-0.333763027
13-Jun-2022,-0.222683162
14-Jun-2022,-0.163561569
15-Jun-2022,-0.133733991
16-Jun-2022,-0.404370669
17-Jun-2022,-0.313628714
21-Jun-2022,-0.215701686
22-Jun-2022,-0.321495759
23-Jun-2022,-0.345629258
24-Jun-2022,-0.317118561
27-Jun-2022,-0.298856298
28-Jun-2022,-0.273930741
29-Jun-2022,-0.324988483
30-Jun-2022,-0.312173537
01-Jul-2022,-0.515238077
05-Jul-2022,-0.391586028
06-Jul-2022,-0.38924003
07-Jul-2022,-0.355982088
08-Jul-2022,-0.315499294
11-Jul-2022,-0.426506936
12-Jul-2022,-0.476566212
13-Jul-2022,-0.617493705
14-Jul-2022,-0.572311306
15-Jul-2022,-0.601298206
18-Jul-2022,-0.574709904
19-Jul-2022,-0.586275209
20-Jul-2022,-0.597934463
21-Jul-2022,-0.732785151
22-Jul-2022,-0.785623158
25-Jul-2022,-0.760401949
26-Jul-2022,-0.80227869
27-Jul-2022,-0.779770944
28-Jul-2022,-0.799223468
29-Jul-2022,-0.839216896
01-Aug-2022,-0.918941828
02-Aug-2022,-0.903242428
03-Aug-2022,-0.953101981
04-Aug-2022,-0.949740953
05-Aug-2022,-0.935031357
08-Aug-2022,-0.980897174
09-Aug-2022,-1.013350002
10-Aug-2022,-0.94852563
11-Aug-2022,-0.834396901
12-Aug-2022,-0.893503652
15-Aug-2022,-0.923267515
16-Aug-2022,-0.935452693
17-Aug-2022,-0.924239224
18-Aug-2022,-0.918162074
19-Aug-2022,-0.798181218
22-Aug-2022,-0.796004394
23-Aug-2022,-0.7483474
24-Aug-2022,-0.705898011
25-Aug-2022,-0.800449378
26-Aug-2022,-0.814041361
29-Aug-2022,-0.753255486
30-Aug-2022,-0.777977705
31-Aug-2022,-0.725864146
01-Sep-2022,-0.622189942
02-Sep-2022,-0.605851898
06-Sep-2022,-0.531253454
07-Sep-2022,-0.572232044
08-Sep-2022,-0.590095595
09-Sep-2022,-0.609140766
12-Sep-2022,-0.559986734
13-Sep-2022,-0.657854931
14-Sep-2022,-0.705514841
15-Sep-2022,-0.688801141
16-Sep-2022,-0.638398836
19-Sep-2022,-0.676384515
20-Sep-2022,-0.567098259
21-Sep-2022,-0.649150628
22-Sep-2022,-0.499974905
23-Sep-2022,-0.714441455
26-Sep-2022,-0.583447579
27-Sep-2022,-0.45953346
28-Sep-2022,-0.533171109
29-Sep-2022,-0.521188103
30-Sep-2022,-0.486896172
03-Oct-2022,-0.608603388
04-Oct-2022,-0.632938712
05-Oct-2022,-0.421578966
06-Oct-2022,-0.384697526
07-Oct-2022,-0.514591911
11-Oct-2022,-0.322456614
12-Oct-2022,-0.337050926
13-Oct-2022,-0.368253212
14-Oct-2022,-0.35649607
17-Oct-2022,-0.321694911
18-Oct-2022,-0.342308363
19-Oct-2022,-0.332864788
20-Oct-2022,-0.321128833
21-Oct-2022,-0.157636559
24-Oct-2022,-0.085058521
25-Oct-2022,-0.327328924
26-Oct-2022,-0.288894213
27-Oct-2022,-0.298054829
28-Oct-2022,-0.185836058
31-Oct-2022,-0.177009953
01-Nov-2022,-0.32928175
02-Nov-2022,-0.274734866
03-Nov-2022,-0.228203011
04-Nov-2022,-0.102203915
07-Nov-2022,-0.044955952
08-Nov-2022,-0.097211833
09-Nov-2022,-0.048717572
10-Nov-2022,-0.447042024
14-Nov-2022,-0.453103882
15-Nov-2022,-0.499359455
16-Nov-2022,-0.654560677
17-Nov-2022,-0.632730505
18-Nov-2022,-0.638373633
21-Nov-2022,-0.349396742
22-Nov-2022,-0.735032588
23-Nov-2022,-0.795737727
25-Nov-2022,-0.799574904
28-Nov-2022,-0.793798253
29-Nov-2022,-0.734636591
30-Nov-2022,-0.718529285
01-Dec-2022,-0.784609286
02-Dec-2022,-0.823599867
05-Dec-2022,-0.845999875
06-Dec-2022,-0.914453849
07-Dec-2022,-0.954923122
08-Dec-2022,-0.917702589
09-Dec-2022,-0.829424778
12-Dec-2022,-0.847827694
13-Dec-2022,-0.872461238
14-Dec-2022,-0.87925521
15-Dec-2022,-0.95368615
16-Dec-2022,-0.840595756
19-Dec-2022,-0.788254599
20-Dec-2022,-0.651025157
21-Dec-2022,-0.610572218
22-Dec-2022,-0.6778067
23-Dec-2022,-0.625434011
27-Dec-2022,-0.552994807
28-Dec-2022,-0.50196204
29-Dec-2022,-0.561769427
30-Dec-2022,-0.550763178
03-Jan-2023,-0.642729334
04-Jan-2023,-0.729238927
05-Jan-2023,-0.779550443
06-Jan-2023,-0.749185985
09-Jan-2023,-0.737681713
10-Jan-2023,-0.656329178
11-Jan-2023,-0.702396657
12-Jan-2023,-0.767259576
13-Jan-2023,-0.805659018
17-Jan-2023,-0.703092553
18-Jan-2023,-0.808979555
19-Jan-2023,-0.804318464
20-Jan-2023,-0.756442928
23-Jan-2023,-0.762436609
24-Jan-2023,-0.823434899
25-Jan-2023,-0.80385745
26-Jan-2023,-0.806349901
27-Jan-2023,-0.786358359
30-Jan-2023,-0.803979483
31-Jan-2023,-0.766323631
01-Feb-2023,-0.80200983
02-Feb-2023,-0.812465084
03-Feb-2023,-0.846354881
06-Feb-2023,-0.884672607
07-Feb-2023,-0.85558314
08-Feb-2023,-0.832081912
09-Feb-2023,-0.854313992
10-Feb-2023,-0.752348945
13-Feb-2023,-0.833536721
14-Feb-2023,-0.879637686
15-Feb-2023,-0.516739867
16-Feb-2023,-0.759691644
17-Feb-2023,-0.761679512
21-Feb-2023,-0.697937626
22-Feb-2023,-0.428032507
23-Feb-2023,-0.463287772
24-Feb-2023,-0.451500781
27-Feb-2023,-0.450299001
28-Feb-2023,-0.461156913
01-Mar-2023,-0.407057935
02-Mar-2023,-0.345553744
03-Mar-2023,-0.474477719
06-Mar-2023,-0.792227389
07-Mar-2023,-0.606087277
08-Mar-2023,-0.642025993
09-Mar-2023,-0.613924125
10-Mar-2023,-0.774788758
13-Mar-2023,-0.666292325
14-Mar-2023,-0.699421549
15-Mar-2023,-0.679369413
16-Mar-2023,-0.721588401
17-Mar-2023,-0.674382667
20-Mar-2023,-0.655176847
21-Mar-2023,-0.672654038
22-Mar-2023,-0.633972594
23-Mar-2023,-0.627558701
24-Mar-2023,-0.639939321
27-Mar-2023,-0.597731372
28-Mar-2023,-0.618915938
29-Mar-2023,-0.616935984
30-Mar-2023,-0.651181109
31-Mar-2023,-0.698880339
03-Apr-2023,-0.701592019
04-Apr-2023,-0.689283252
05-Apr-2023,-0.735170724
06-Apr-2023,-0.765685578
07-Apr-2023,-0.754991392
10-Apr-2023,-0.765149803
11-Apr-2023,-0.753686546
12-Apr-2023,-0.704870904
13-Apr-2023,-0.666879005
14-Apr-2023,-0.669451746
17-Apr-2023,-0.638043913
18-Apr-2023,-0.665676378
19-Apr-2023,-0.677504618
20-Apr-2023,-0.662660439
21-Apr-2023,-0.641290537
24-Apr-2023,-0.669670787
25-Apr-2023,-0.671296264
26-Apr-2023,-0.649239285
27-Apr-2023,-0.641745658
28-Apr-2023,-0.708381634
01-May-2023,-0.590865738
02-May-2023,-0.646704981
03-May-2023,-0.629841552
04-May-2023,-0.561191435
05-May-2023,-0.57807493
08-May-2023,-0.544164397
09-May-2023,-0.528506324
10-May-2023,-0.529008048
11-May-2023,-0.617345635
12-May-2023,-0.603302203
15-May-2023,-0.528652459
16-May-2023,-0.516705869
17-May-2023,-0.546149638
18-May-2023,-0.542598749
19-May-2023,-0.509994721
22-May-2023,-0.490936674
23-May-2023,-0.515290317
24-May-2023,-0.524514655
25-May-2023,-0.54966937
26-May-2023,-0.614022683
30-May-2023,-0.643226339
31-May-2023,-0.6561164
01-Jun-2023,-0.652774778
02-Jun-2023,-0.681830684
05-Jun-2023,-0.664414925
06-Jun-2023,-0.694144292
07-Jun-2023,-0.604162376
08-Jun-2023,-0.673623905
09-Jun-2023,-0.712768613
12-Jun-2023,-0.697790864
13-Jun-2023,-0.692734381
14-Jun-2023,-0.804835821
15-Jun-2023,-0.791065382
16-Jun-2023,-0.843194758
20-Jun-2023,-0.860246729
21-Jun-2023,-0.879670049
22-Jun-2023,-0.864353157
23-Jun-2023,-0.863903126
26-Jun-2023,-0.853237617
27-Jun-2023,-0.901690541
28-Jun-2023,-0.929963257
29-Jun-2023,-0.666653645
30-Jun-2023,-0.733133299
03-Jul-2023,-0.73470713
05-Jul-2023,-0.628961802
06-Jul-2023,-0.57271107
07-Jul-2023,-0.541561272
10-Jul-2023,-0.643806652
11-Jul-2023,-0.719938055
12-Jul-2023,-0.717134793
13-Jul-2023,-0.702798028
14-Jul-2023,-0.799624999
17-Jul-2023,-0.795605461
18-Jul-2023,-0.837839827
19-Jul-2023,-0.912963005
20-Jul-2023,-0.85405398
21-Jul-2023,-0.874793283
24-Jul-2023,-0.846986887
25-Jul-2023,-0.828898845
26-Jul-2023,-0.657006286
27-Jul-2023,-0.737086725
28-Jul-2023,-0.759393634
31-Jul-2023,-0.601214446
01-Aug-2023,-0.447811592
02-Aug-2023,-0.570566626
03-Aug-2023,-0.450206747
04-Aug-2023,-0.50716103
07-Aug-2023,-0.433236894
08-Aug-2023,-0.504483776
09-Aug-2023,-0.563932728
10-Aug-2023,-0.470378191
11-Aug-2023,-0.459196185
14-Aug-2023,-0.535101228
15-Aug-2023,-0.453318416
16-Aug-2023,-0.423941104
17-Aug-2023,-0.342486278
18-Aug-2023,-0.379278108
21-Aug-2023,-0.321022482
22-Aug-2023,-0.172851993
23-Aug-2023,-0.489446526
24-Aug-2023,-0.480036088
25-Aug-2023,-0.50575332
28-Aug-2023,-0.519497001
29-Aug-2023,-0.50198758
30-Aug-2023,-0.482122488
31-Aug-2023,-0.488980656
01-Sep-2023,-0.375156846
05-Sep-2023,-0.366219268
06-Sep-2023,-0.210556164
07-Sep-2023,-0.381805147
08-Sep-2023,-0.427204001
11-Sep-2023,-0.385051754
12-Sep-2023,-0.443275873
13-Sep-2023,-0.436595887
14-Sep-2023,-0.427431204
15-Sep-2023,-0.182012917
18-Sep-2023,-0.211682804
19-Sep-2023,-0.252278855
20-Sep-2023,-0.305937804
21-Sep-2023,-0.066052138
22-Sep-2023,-0.101967013
25-Sep-2023,0.05085042
26-Sep-2023,0.076590806
27-Sep-2023,0.117530669
28-Sep-2023,0.133069524
29-Sep-2023,0.169418319
02-Oct-2023,0.229981764
03-Oct-2023,0.340625812
04-Oct-2023,0.300409306
05-Oct-2023,0.323606179
06-Oct-2023,0.271550562
10-Oct-2023,0.234965406
11-Oct-2023,0.08076413
12-Oct-2023,0.279881808
13-Oct-2023,0.201557043
16-Oct-2023,0.280291412
17-Oct-2023,0.303420948
18-Oct-2023,0.286447104
19-Oct-2023,0.466607211
20-Oct-2023,0.478302187
23-Oct-2023,0.388383633
24-Oct-2023,0.339453185
25-Oct-2023,0.448956197
26-Oct-2023,0.40048499
27-Oct-2023,0.425922622
30-Oct-2023,0.442396602
31-Oct-2023,0.41856457
01-Nov-2023,0.373879188
02-Nov-2023,0.197908543
03-Nov-2023,0.212622575
06-Nov-2023,0.237407946
07-Nov-2023,0.137917553
08-Nov-2023,0.103296017
09-Nov-2023,0.227971176
10-Nov-2023,0.179979652
13-Nov-2023,0.198169038
14-Nov-2023,0.074322031
15-Nov-2023,0.094573655
16-Nov-2023,0.080618523
17-Nov-2023,-0.001467868
20-Nov-2023,-0.033479815
21-Nov-2023,-0.003501889
22-Nov-2023,-0.017623297
24-Nov-2023,0.124998598
27-Nov-2023,-0.023648786
28-Nov-2023,0.040060162
29-Nov-2023,0.007729578
30-Nov-2023,0.074435615
01-Dec-2023,0.004283034
04-Dec-2023,0.006875054
05-Dec-2023,-0.088553054
06-Dec-2023,-0.190736193
07-Dec-2023,-0.150140216
08-Dec-2023,-0.15370493
11-Dec-2023,-0.14316433
12-Dec-2023,-0.195046552
13-Dec-2023,-0.18014
14-Dec-2023,-0.296791603
15-Dec-2023,-0.348429613
18-Dec-2023,-0.310649667
19-Dec-2023,-0.316455531
20-Dec-2023,-0.357960223
21-Dec-2023,-0.316716563
22-Dec-2023,-0.299924737
26-Dec-2023,-0.320597512
27-Dec-2023,-0.45307692
28-Dec-2023,-0.430857718
29-Dec-2023,-0.315716313
02-Jan-2024,-0.300722087
03-Jan-2024,-0.324106786
04-Jan-2024,-0.251677857
05-Jan-2024,-0.188844276
08-Jan-2024,-0.208234956
09-Jan-2024,-0.218167968
10-Jan-2024,-0.190934669
11-Jan-2024,-0.201019226
12-Jan-2024,-0.170881222
16-Jan-2024,-0.071238763
17-Jan-2024,-0.104563778
18-Jan-2024,-0.048638479
19-Jan-2024,-0.061401238
22-Jan-2024,-0.098774665
23-Jan-2024,-0.049722595
24-Jan-2024,-0.011808834
25-Jan-2024,-0.025828382
26-Jan-2024,-0.031517374
29-Jan-2024,-0.097741663
30-Jan-2024,-0.146317812
31-Jan-2024,-0.185539239
01-Feb-2024,-0.333794727
02-Feb-2024,-0.225056602
05-Feb-2024,-0.129134004
06-Feb-2024,-0.172997268
07-Feb-2024,-0.159072778
08-Feb-2024,-0.103397968
09-Feb-2024,-0.107232634
12-Feb-2024,-0.102829996
13-Feb-2024,-0.065540249
14-Feb-2024,-0.063558897
15-Feb-2024,-0.076620066
16-Feb-2024,-0.064708609
20-Feb-2024,-0.049491644
21-Feb-2024,-0.026382156
22-Feb-2024,-0.071253018
23-Feb-2024,-0.144283777
26-Feb-2024,-0.148245241
27-Feb-2024,-0.112538667
28-Feb-2024,-0.114781082
29-Feb-2024,-0.14003685
01-Mar-2024,-0.13729573
04-Mar-2024,-0.143446743
05-Mar-2024,-0.218754848
06-Mar-2024,-0.279968676
07-Mar-2024,-0.262739635
08-Mar-2024,-0.236480483
11-Mar-2024,-0.26590597
12-Mar-2024,-0.240884301
13-Mar-2024,-0.222999989
14-Mar-2024,-0.145513249
15-Mar-2024,-0.162652214
18-Mar-2024,-0.13987256
19-Mar-2024,-0.148024108
20-Mar-2024,-0.123527935
21-Mar-2024,-0.132168377
22-Mar-2024,-0.179428017
25-Mar-2024,-0.152646901
26-Mar-2024,-0.174463534
27-Mar-2024,-0.203767083
28-Mar-2024,-0.245206551
01-Apr-2024,-0.156878847
02-Apr-2024,-0.087962868
03-Apr-2024,-0.074498279
04-Apr-2024,-0.107298313
05-Apr-2024,-0.0855109
08-Apr-2024,-0.10146775
09-Apr-2024,-0.140030998
10-Apr-2024,-0.129807297
11-Apr-2024,-0.105257609
12-Apr-2024,-0.111637063
15-Apr-2024,0.000574842
16-Apr-2024,0.019106369
17-Apr-2024,-0.05421515
18-Apr-2024,-0.019881713
19-Apr-2024,-0.038460629
22-Apr-2024,-0.027612146
23-Apr-2024,0.000601973
24-Apr-2024,0.047952248
25-Apr-2024,0.053717932
26-Apr-2024,0.008734395
29-Apr-2024,-0.027717548
30-Apr-2024,-0.021242158
01-May-2024,-0.022840499
02-May-2024,0.006697963
03-May-2024,-0.009624482
06-May-2024,-0.05741013
07-May-2024,-0.096800105
08-May-2024,-0.063112771
09-May-2024,-0.072598131
10-May-2024,-0.061701623
13-May-2024,-0.075193413
14-May-2024,-0.073219938
15-May-2024,-0.11383329
16-May-2024,-0.097945753
17-May-2024,-0.121193045
20-May-2024,-0.112093813
21-May-2024,-0.134964561
22-May-2024,-0.175647763
23-May-2024,-0.075247609
24-May-2024,-0.063176705
28-May-2024,-0.116161414
29-May-2024,0.08842085
